ProductName:,item,GenericName,Code,Department,DosageForm:,presentation,unit_quantity,Category,full_pack,Vendor
Sudrex,,,6009314,Pharmacy,,,,,1,
BIGEN POWDER HAIR DYE,,,6009802,Supermarket,,,,,1,
PURE HEAVEN WINE 750ML,,,6010407,Supermarket,,,,,1,
COLGATE(JUNIOR),,,6010434,Supermarket,,,,,1,
EXPLORE PERFUME  100ML,,,6010444,Supermarket,,,,,1,
camosunate,,,6010614,,,,,,1,
BAG ( OTD 331254),,,6010834,Supermarket,,,,,1,
MATTE EYE SHADOW,,,6011863,Supermarket,,,,,1,
q,,,6012690,,,,,,1,
AMLODIPINE,,,6012743,Pharmacy,TABLETS,BLISTER,14,,28,
OFLOXACIN,,,6012873,Pharmacy,,,,Vinca alkaloids and etoposide,1,
CALCIUM LACTATE,,,6013296,Pharmacy,CAPSULES,PACK,1,,1,
HEPARIN,,,,Pharmacy,GEL,,,,1,
PhENYTOIN SODIUM,,,,Pharmacy,,,,,1,
,  ,,,Pharmacy,,,,,1,
 DIGITAL SPHYG(DOUBLE G), DIGITAL SPHYG(DOUBLE G) X 1,,6011938,Pharmacy,,PACK,,,1,
 fenamex 500mg, FENAMEX 500MG TABS 500MG X 10,,8.90601E+12,Pharmacy,TABLETS,PACK,10,Non-steroidal anti-inflammatory drugs (NSAIDs),1,
 FLEX CONDOM, FLEX CONDOM X 3,,6010960,Pharmacy,,PACK,,,1,
 OMEGA 3 (NOW), OMEGA 3 (NOW) SOFTGEL 1000MG X 30,,,Pharmacy,SOFTGEL,PACK,,,1,ALPHA PHARMACY & STORES NIG.
 protective mega growth conditioner, PROTECTIVE MEGA GROWTH CONDITIONER X 1,,6011015,Supermarket,,JAR,,,1,
 vitamin e(organic health), VITAMIN E(ORGANIC HEALTH) TABS 1000IU X 60,Vitamin E,6012250,Pharmacy,TABLETS,PCS,1,Vitamins,60,
/,/,,6012691,,,,,,1,
1 MILLION PERFUME,1 MILLION PERFUME 100ML,,15087,Supermarket,,BOTTLE,,,1,
1 PC GLASS PRESERVATION BOX,1 PC GLASS PRESERVATION BOX X 1,,1.07098E+12,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
10 PCS DINNER SET (CRANBERRY),10 PCS DINNER SET (CRANBERRY),,1008161,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
10 SQUARE CASSEROLE DISH,10 SQUARE CASSEROLE DISH X 1,,1008241,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
100CENT PAPAYA CLEANSER 100G (FOR ALL SKIN TYPE,100CENT PAPAYA CLEANSER 100G (FOR ALL SKIN TYPE,,6.92586E+12,Supermarket,,TUBE,,,1,
12 PCS KARINE DINNER SET (SUMO),12 PCS KARINE DINNER SET (SUMO),,4.89513E+12,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
14 DAYS CREAM,14 DAYS CREAM,,14121,Supermarket,,TUBE,,,1,
14 DAYS CREAM TUBE 25G,14 DAYS CREAM TUBE 25G,,14415,Supermarket,,TUBE,,,1,
14 DAYS EXCLUSIVE SAVON SOAP 80G X 12,14 DAYS EXCLUSIVE SAVON SOAP 80G X 12,,16082,Supermarket,,PACK,,,1,
14 DAYS FADE MILK LOTION,14 DAYS FADE MILK LOTION 350ML,,16185,Supermarket,,JAR,,,1,
14 DAYS TRANSPARENT SOAP 150G X 6,14 DAYS TRANSPARENT SOAP 150G X 6,,16317,Supermarket,,PACK,,,1,
16 PCS DINNER SET (VELVET),16 PCS DINNER SET (VELVET),,1008106,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
17 PCS TEA SET(CRANBERRY),17 PCS TEA SET(CRANBERRY) X 1,,6010628,Supermarket,,PACK,,,1,
19 PCS DINNER SET PASABAHCE (WORKSHOP),19 PCS DINNER SET PASABAHCE (WORKSHOP),,6.80678E+11,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
1ST DESIGNER,1ST DESIGNER,,15408,Supermarket,SPRAY,CAN,,,1,
2 LOVE PERF,2 LOVE PERF,,15187,Supermarket,,CAN,,,1,
2.0.2 PERFUME,2.0.2 PERFUME X 1,,6010361,Supermarket,,PACK,,,1,
20 PCS  DINNER SET JULIE (SUMO),20 PCS  DINNER SET JULIE (SUMO),,4.89513E+12,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
20 PCS DINNER SET  P130303 (SCANBERRY),20 PCS DINNER SET  P130303 (SCANBERRY),,1008170,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
20 PCS EGYPTIAN PLATE,20 PCS EGYPTIAN PLATE,,1008239,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
2000-N-SIX CLEANSER,2000-N-SIX CLEANSER 100ML,,15454,Supermarket,,BOTTLE,100ML,,12,
2000-N-SIX CLEANSER,2000-N-SIX CLEANSER 200ML,,15455,Supermarket,,BOTTLE,200ML,,12,
2000-N-SIX CLEANSER,2000-N-SIX CLEANSER 50ML,,16600,Supermarket,,BOTTLE,50ML,,1,
2000-N-SIX MEDICATED SOAP 120G,2000-N-SIX MEDICATED SOAP 120G X 1,,42300066003,Supermarket,,SOAP TABLET,1,,1,
2006 CLEANSER B/S,2006 CLEANSER B/S X 1,,6009604,Pharmacy,,JAR,,,1,
2006 CLEANSER M/S,2006 CLEANSER M/S X 1,,6009605,Supermarket,,JAR,,,1,
21 DAYS COMPLEXION  MILK LOTION 260ML,21 DAYS COMPLEXION  MILK LOTION 260ML X 1,,8.02788E+12,Supermarket,,JAR,1,Systemic antifungal drugs,1,
21 DAYS CREAM FADE CUP,21 DAYS CREAM FADE CUP X 1,,12790,Supermarket,CREAM,JAR,1,,1,
21 DAYS SAVON SOAP 80G,21 DAYS SAVON SOAP 80G,,1.30305E+11,Supermarket,,SOAP TABLET,,,1,
21 DAYS SERUM,21 DAYS SERUM X 1,,13734,Supermarket,,BOTTLE,1,,1,
21 DAYS SOAP 100G,21 DAYS SOAP 100G X 1,,8.02788E+12,Supermarket,,SOAP TABLET,1,,1,
21 PCS DINNER SET ROXAS (SUMO),21 PCS DINNER SET ROXAS (SUMO),,4.89513E+12,Supermarket,,PACK,,,1,RONKYEM ENTERPRISES
212 4  men perfume,212 4  MEN PERFUME,,16324,Supermarket,,JAR,,,1,
212 4 7MEN SPRAY,212 4 7MEN SPRAY 100ML,,12855,Supermarket,SPRAY,BOTTLE,100ML,,1,
212 MEN  BODY SPRAY $ ROLL-ON 50ML/50ML,212 MEN  BODY SPRAY $ ROLL-ON 50ML/50ML,,15808,Supermarket,,PACK,,,1,
212 MEN ROLL ON 50ML,212 MEN ROLL ON 50ML,,6.93045E+12,Supermarket,,BOTTLE,,,1,
212 POWDER 180G,212 POWDER 180G,,16810,Supermarket,,JAR,,,1,
212 SEXY PERF ( DESIGNERS),212 SEXY PERF ( DESIGNERS) X 1,,13597,Supermarket,,BOTTLE,1,,1,
212 smart spray,212 SMART SPRAY X 1,,14100,Supermarket,,CAN,1,,1,
212 VIP CLUB PERFUME,212 VIP CLUB PERFUME X 1,,6009570,Supermarket,,PACK,,,1,
212 VIP WOMEN PERFUME,212 VIP WOMEN PERFUME X 1,,6009569,Supermarket,,JAR,,,1,
