item,unit2,unit2_price
 DIGITAL SPHYG(DOUBLE G) X 1,PACK,600
 FENAMEX 500MG TABS 500MG X 10,PACK,200
 FLEX CONDOM X 3,PACK,90
 OMEGA 3 (NOW) SOFTGEL 1000MG X 30,PACK,55
1 MILLION PERFUME 100ML,BOTTLE,"1,145.00"
10 PCS DINNER SET (CRANBERRY),PACK,"2,100.00"
100CENT PAPAYA CLEANSER 100G (FOR ALL SKIN TYPE,TUBE,310
12 PCS KARINE DINNER SET (SUMO),PACK,"2,040.00"
14 DAYS EXCLUSIVE SAVON SOAP 80G X 12,PACK,190
14 DAYS FADE MILK LOTION 350ML,JAR,"1,380.00"
14 DAYS TRANSPARENT SOAP 150G X 6,PACK,405
16 PCS DINNER SET (VELVET),PACK,"3,200.00"
19 PCS DINNER SET PASABAHCE (WORKSHOP),PACK,"9,600.00"
20 PCS  DINNER SET JULIE (SUMO),PACK,"3,100.00"
20 PCS DINNER SET  P130303 (SCANBERRY),PACK,"5,400.00"
20 PCS EGYPTIAN PLATE,PACK,"15,000.00"
2000-N-SIX CLEANSER 100ML,FULL PACK,"4,820.00"
2000-N-SIX CLEANSER 200ML,FULL PACK,"7,905.00"
2000-N-SIX CLEANSER 50ML,BOTTLE,240
21 DAYS CREAM FADE CUP X 1,JAR,"1,490.00"
21 DAYS SAVON SOAP 80G,SOAP TABLET,225
21 DAYS SOAP 100G X 1,SOAP TABLET,250
21 PCS DINNER SET ROXAS (SUMO),PACK,"3,600.00"
212 4  MEN PERFUME,JAR,"1,260.00"
212 4 7MEN SPRAY 100ML,BOTTLE,690
212 SEXY PERF ( DESIGNERS) X 1,BOTTLE,"1,240.00"
212 SMART SPRAY X 1,CAN,590
24 HRS COCOA BUTTER LOTION X 1,JAR,216.67
24 PCS CUTLERY SET (SUMO PREMIUM) [PACK] ,PACK,"2,100.00"
26 PCS BLOCKS TOY,PACK,900
3 BALLERINA TEA X 1,PACK,"1,035.00"
3 PCS SET OF POT(KINELCO) KN-6007,PACK,"7,100.00"
3 SET MULTI COLOUR BOWL (BIG),PACK,"1,300.00"
3 SET MULTI COLOUR BOWL (SMALL),PACK,"7,100.00"
"3 SET OF CASSEROLE DISH(11'"" RECTANGLE)",PACK,"10,000.00"
3 STEPS LUNCH BOX (HUARONG),PACK,"1,100.00"
3-BETA CREAM X 1,TUBE,150
30 DAYS  BEAUTY SECRET X 30 TABS ,JAR,"15,000.00"
3G CREAM 20G,TUBE,145
4 PCS DECAL MUG (HANA),PACK,850
4 PCS DINNER PLATE DECAY (10.5) HANA,PACK,"1,100.00"
4 PCS DINNER SET,PACK,"1,500.00"
4 PCS DINNER SET (FINE COLLECTION),PACK,680
4 PCS EMBOSSED SALAD BOWL (HANA),PACK,"1,100.00"
4 PCS FLORENCE FOOD FLASK,PACK,"2,800.00"
4 SET OF CEREMIC PLATE(AQUARIUM),PACK,570
4 SET TEA CUP & SAUCER,PACK,"1,000.00"
4 SLICE SANDWICH MAKER(CROWNSTAR),PACK,"3,990.00"
4 YOU  ROLL ON X 1,BOTTLE,235
4 YOU FAHRENHENT PERFUME 60ML,BOTTLE,245
4 YOU PERFUME 100ml,BOTTLE,345
47 PCS EDUCATIONAL BLOCK,PACK,"1,300.00"
5 PCS GLAS WITH MUG (SMP),PACK,"1,000.00"
5 PCS OF CEREMIC TEA SET (SMP),PACK,"2,100.00"
